オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
HimaWali,Cafe_Carina,カフェ,,,https://www.14-store-log.com/stores/bb3c340a-37e5-491d-b5ea-a819fb6b1c6b,Mana,Anima,ミストヴィレッジ 4区,トップマスト2号 19
Hima Wali,名前のないBar,BAR,,,https://www.14-store-log.com/stores/2f1a6df1-0568-4157-b545-99f9d8afde3e,Mana,Anima,ミストヴィレッジ 4区,49番地 個室3
"Arcana""yuriche""Chai",♡YURICHE♡,カフェ・BAR,,,https://www.14-store-log.com/stores/eb5c98e5-749b-4f13-a45d-c2c7d121fce5,Mana,Titan,ミストヴィレッジ 9区,48番地
Little Garden,photoSTUDIO GENSOUKAN　第１studio童話,スタジオ・カフェ,,＃FF14_GENSOUKAN,https://www.14-store-log.com/stores/77dc79a8-c898-45e8-8a6c-9992e050609e,Mana,Chocobo,ラベンダーベッド 2区,リリーヒルズ1号 80
オーナー：Leon Smith/店長：Leo Alexiel,PUB《EDGE》,BAR,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/a48b4693-3730-4d72-a821-b404ebb795f3,Mana,Titan,エンピレアム 19区,45番地 入って左奥5号室
 Mauli Aumoe,【RP】Out of the blue,その他・交流店,https://jp.finalfantasyxiv.com/lodestone/character/59804225/blog/5682560/,,https://www.14-store-log.com/stores/d13fe4dd-ca9e-4a2c-aef6-b4776dc80285,Meteor,Yojimbo,ラベンダーベッド 16区,35番地
Konohana　Seedling,アチーバーの隠れ家≪Bar Unlock≫,BAR,,#BarUnlock,https://www.14-store-log.com/stores/670e9ae0-25a4-4adf-b798-dff4685fce30,Meteor,Belias,ミストヴィレッジ 30区,18番地
Fhio Mujuuk,譜面加工 Fhio Mujic(フィオ ムジック),アトリエ・その他,,,https://www.14-store-log.com/stores/b5eae65f-9ade-453e-96b8-55a127d8384d,Meteor,Valefor,ラベンダーベッド 12区,リリーヒルズ1号 51号室
Laura Brunetta,プチ交流店『Blossom』,BAR・交流店,https://x.com/Laura_B_FFXIV,#DiningBar_Blossom,https://www.14-store-log.com/stores/d50a94d5-ab68-4779-a22d-e566f064dd12,Mana,Masamune,ラベンダーベッド 14区,リリーヒルズ1号 15号室
Sopra Stella,Abbigliamento: Sopra,マネキンショップ,,,https://www.14-store-log.com/stores/d4110307-9010-426d-b090-b79d2281185a,Meteor,Unicorn,ミストヴィレッジ 18区,トップマスト1号 50号室
Takma Al,ひんがし風Bar 夜半の月,BAR・その他,,#夜半の月_ff14,https://www.14-store-log.com/stores/fc8c37af-fc18-4b56-a351-99234e8f6f8e,Mana,Masamune,シロガネ 2区,紅梅御殿1号 22号室
takunyaa,ゆるっと交流店,交流店・BAR,,,https://www.14-store-log.com/stores/acfb0fa5-2d3c-41ac-9bca-cf621dfd1a29,Gaia,Ifrit,ミストヴィレッジ 30区,トップマスト2号 43号室
takub,交流店　バイオレット,交流店・BAR,,,https://www.14-store-log.com/stores/8d25bab1-0bae-46cf-93f3-09efc20a06d5,Mana,Masamune,ラベンダーベッド 24区,3番地
Hyousetu Tokimiya,喫茶 無銘,カフェ・居酒屋,,#喫茶壊雷庵,https://www.14-store-log.com/stores/b5c4e6a5-bd96-4612-878b-faba8c61ee92,Meteor,Ramuh,ミストヴィレッジ 22区,トップマスト1号 のどこか
Chronika Kirstein,鹿鳴館,ライブハウス・BAR,,#鹿鳴館_FF14 ,https://www.14-store-log.com/stores/dac6409e-cba8-4036-8372-67d0de7cccc8,Gaia,Ridill,ミストヴィレッジ 6区,47番地
takubnekonyan,小さなバー,交流店,,,https://www.14-store-log.com/stores/6d159e34-7240-470e-ba14-494198ced20a,Mana,Masamune,ミストヴィレッジ 24区,トップマスト2号 66
G'ladius Nightreign,Barren Flower,カフェ・占い,,#バレンフラワー,https://www.14-store-log.com/stores/db904326-5ba2-4eb6-9559-177b4a345a44,Mana,Anima,エンピレアム 15区,2番地
Laura Brunetta,⚡️ロック⚡️Cafe　Rockism（ロッキズム）,カフェ,https://x.com/Laura_B_FFXIV,#Rockism,https://www.14-store-log.com/stores/f668e941-a4ed-4bb6-aa77-bdac89177eed,Mana,Ixion,ミストヴィレッジ 24区,トップマスト1号 78号室
Saya Konoe,七天◯ -Shichiten Madoka-,BAR,https://x.com/ShichitenMadoka?t=GluUqIxg6soBqZLXz-wkSQ&s=09,,https://www.14-store-log.com/stores/5b76525d-972b-437b-aa47-72b1a2cc63af,Meteor,Yojimbo,ミストヴィレッジ 4区,27番地
オーナーYuela  店主Fubu,翡翠-jade-,カフェ・BAR,https://x.com/fubu314,#喫茶jade_FF14,https://www.14-store-log.com/stores/29ae7033-b125-4c58-b596-a1eeb6d2bc03,Meteor,Shinryu,ゴブレットビュート 29区,50番地
Rei&Ruki,三日月堂,BAR,https://x.com/mikazuki_do_?s=21&t=L09KLKZms0zetbzmqETSrQ,#三日月堂_FF14,https://www.14-store-log.com/stores/766ff0b7-6c0b-402d-b6ba-cbb8668c061e,Elemental,Aegis,ラベンダーベッド 29区,15番地
TetraPot Yama,Aquarium Center,その他,,,https://www.14-store-log.com/stores/9a75167b-86fb-4d58-abe5-6034d740c829,Meteor,Zeromus,ラベンダーベッド 18区,36番地
takub bnekonyan,カフェ桜,カフェ,,,https://www.14-store-log.com/stores/9b2b8625-111f-4ad0-a155-5ab585c67d0d,Mana,Masamune,ミストヴィレッジ 24区,60番地
エルシー・マチルダ,蝶,対話店・BAR,,#butterfly_ff14,https://www.14-store-log.com/stores/056b3168-7280-41c9-87af-5b8b3e0678e0,Meteor,Yojimbo,ゴブレットビュート 3区,29番地
